date,measure,value
2015-05-01,m3_deposit_other,12285.246755999979
2015-05-01,m1_deposit_demand,278621.27559100004
2015-05-01,m2_repo,145.767196
2015-05-01,m3_total,1579862.42494391
2015-05-01,m2_nid,20720.907424999998
2015-05-01,m1_total,352321.26072091004
2015-05-01,m2_deposit_fixed,741916.043662
2015-06-01,m3_deposit_other,10093.400888999924
2015-06-01,m2_repo,0.0
2015-06-01,m1_currency,72940.06450778
2015-06-01,m2_total,1574349.84007978
2015-06-01,m3_total,1584443.24096878
2015-06-01,m2_deposit_fx,112282.938063
2015-06-01,m2_nid,18918.492707999998
2015-06-01,m2_deposit_other,209567.801926
2015-06-01,m2_deposit_fixed,736057.447353
2015-06-01,m1_total,360586.34414978
2015-06-01,m2_deposit_saving,136936.81588
2015-06-01,m1_deposit_demand,287646.279642
2015-07-01,m2_repo,48.979685
2015-07-01,m3_deposit_other,9161.179994000122
2015-07-01,m1_deposit_demand,273006.627637
2015-07-01,m2_total,1560912.98047467
2015-07-01,m3_total,1570074.16046867
2015-07-01,m1_currency,74174.23778867
2015-07-01,m2_deposit_fx,120672.06576499998
2015-07-01,m2_nid,18437.336292
2015-07-01,m1_total,347180.86542567
2015-07-01,m2_deposit_other,207435.132989
2015-07-01,m2_deposit_saving,134986.290003
2015-07-01,m2_deposit_fixed,732152.310315
2015-08-01,m1_total,351492.87933129
2015-08-01,m3_total,1571522.27279629
2015-08-01,m2_deposit_other,199699.741336
2015-08-01,m2_repo,93.113107
2015-08-01,m3_deposit_other,10180.652036000043
2015-08-01,m2_deposit_fx,127818.435328
2015-08-01,m2_nid,15567.978225
2015-08-01,m2_deposit_fixed,731961.432443
2015-08-01,m2_deposit_saving,134708.04099
2015-08-01,m2_total,1561341.62076029
2015-08-01,m1_deposit_demand,276088.939445
2015-08-01,m1_currency,75403.93988629
2015-09-01,m2_total,1581305.81731726
2015-09-01,m2_deposit_other,202557.582255
2015-09-01,m2_repo,46.541609
2015-09-01,m3_total,1593104.17218926
2015-09-01,m3_deposit_other,11798.35487199994
2015-09-01,m2_deposit_fx,136562.152333
2015-09-01,m2_nid,13529.444723
2015-09-01,m1_total,357983.88368626003
2015-09-01,m1_currency,75062.00373626
2015-09-01,m1_deposit_demand,282921.8799500001
2015-09-01,m2_deposit_fixed,734050.658765
2015-09-01,m2_deposit_saving,136575.553946
2015-10-01,m1_total,351276.1414597
2015-10-01,m2_deposit_other,199157.71574500002
2015-10-01,m2_repo,0.0
2015-10-01,m2_total,1575491.5711207
2015-10-01,m3_total,1585169.9641837003
2015-10-01,m3_deposit_other,9678.39306300017
2015-10-01,m2_deposit_fx,139236.603555
2015-10-01,m2_nid,12987.151740000001
2015-10-01,m1_currency,75818.09391669999
2015-10-01,m1_deposit_demand,275458.047543
2015-10-01,m2_deposit_saving,135331.498382
2015-10-01,m2_deposit_fixed,737502.460239
2015-11-01,m2_total,1583959.7534515199
2015-11-01,m2_deposit_fixed,733858.5457279999
2015-11-01,m2_deposit_other,203403.10715599998
2015-11-01,m2_repo,0.0
2015-11-01,m3_total,1592321.53120152
2015-11-01,m1_total,352369.04980552004
2015-11-01,m3_deposit_other,8361.777750000125
2015-11-01,m1_deposit_demand,276625.79253000004
2015-11-01,m1_currency,75743.25727552001
2015-11-01,m2_deposit_fx,147502.71727999998
2015-11-01,m2_nid,12341.928832000001
2015-11-01,m2_deposit_saving,134484.40464999998
2015-12-01,m2_deposit_fx,145790.022104
2015-12-01,m1_total,360502.94251989
2015-12-01,m2_total,1595853.7572998903
2015-12-01,m1_currency,76913.66633389
2015-12-01,m2_deposit_other,198579.35686700002
2015-12-01,m2_deposit_saving,135590.665853
2015-12-01,m2_repo,0.0
2015-12-01,m3_deposit_other,8084.277888999786
2015-12-01,m1_deposit_demand,283589.2761860001
2015-12-01,m3_total,1603938.03518889
2015-12-01,m2_nid,12596.701023
