reg_no,product,description,holder,manufacturer,date_reg,date_end
MAL20033375XCR,EVENING PRIMROSE OIL 1000MG CAPSULES,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2018-06-01,2023-06-01
MAL12085057AZ,Uscine Tablets 10mg,PRESCRIPTION,CHULIA PHARMA SDN BHD,CHULIA PHARMA SDN BHD,2018-06-01,2023-06-01
MAL18066035N,NHF BIOZYME Powder,HEALTH SUPPLEMENT,EXCEL HERBAL INDUSTRIES SDN. BHD.,EXCEL HERBAL INDUSTRIES SDN. BHD.,2018-06-04,2023-06-04
MAL20033549T,LAWAS SEGAR,NATURAL PRODUCT,MISB RESOURCES SDN. BHD.,MISB RESOURCES SDN. BHD.,2018-06-23,2023-06-23
MAL20033551T,LAWAS KENCANG,NATURAL PRODUCT,MISB RESOURCES SDN. BHD.,MISB RESOURCES SDN. BHD.,2018-06-23,2023-06-23
MAL20033514AZ,PROMEDYL PLUS LINCTUS,PRESCRIPTION,Duopharma Marketing Sdn. Bhd.,DUOPHARMA MANUFACTURING (BANGI) SDN. BHD.,2018-06-23,2023-06-23
MAL08061644XC,Bio-Life Astaxanthin 4mg Capsules,HEALTH SUPPLEMENT,BIO-LIFE MARKETING SDN. BHD.,UNISON NUTRACEUTICALS SDN. BHD.,2018-06-28,2023-06-28
MAL13065032N,GNC TRIMAX OMEGA-3 FISH OIL 1500,HEALTH SUPPLEMENT,ONI Global (Malaysia) Sdn Bhd,NUTRA MANUFACTURING INC,2018-06-28,2023-06-28
MAL18076057TC,Unicity Chlorospirulina 746 mg Chewable Tablet,NATURAL PRODUCT,UNICITY IMPORTS MALAYSIA SDN. BHD.,"GMP LABORATORIES OF AMERICA, INC",2018-07-04,2023-07-04
MAL18076005N,AVAN-D NAC 600mg Capsule,HEALTH SUPPLEMENT,PAHANG PHARMACY SDN. BHD.,PAHANG PHARMACY SDN. BHD.,2018-07-04,2023-07-04
MAL18076017NC,NUTRIGO COQ10 300mg PLUS Capsules,HEALTH SUPPLEMENT,NUTRIGO SDN. BHD.,GMP PHARMACEUTICALS LTD,2018-07-04,2023-07-04
MAL19912149X,IDAMAN PHARMA MAGNESIUM TRISILICATE TABLET COMPOUND,NON PRESCRIPTION,INSPIRAPHARMA SDN. BHD.,INSPIRAPHARMA SDN. BHD.,2018-07-06,2023-07-06
MAL20033843TC,TONGKAT ALI FORTE,NATURAL PRODUCT,ADVANCED NUTRICS BIOACTIVE,DOT GREEN LIFESCIENCES SDN. BHD.,2018-07-28,2023-07-28
MAL20033796TCR,KORDEL`S FLAXSEED OIL 1000MG CAPSULE,NATURAL PRODUCT,CAMBERT(M) SDN. BHD.,CATALENT AUSTRALIA PTY LTD,2018-07-28,2023-07-28
MAL08080425T,Tie Da Zhi Tong Gao,NATURAL PRODUCT,SEANG WAN TRADING CO SDN BHD,"GUANGDONG TAIENKANG PHARMACEUTICAL(FACTORY)CO.,LTD",2018-08-06,2023-08-06
MAL19911249XZ,AEKNIL TABLETS,NON PRESCRIPTION,JKS ADMIRAL RESOURCES,THERAPEUTIC PHARM,2018-08-10,2023-08-10
